home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Boston,New Orleans,04/06/2016,W,48,104,41,24,10,7,9,20,33,8,36-87,.414,10-34,.294,22-27,.815,121,97,49,21,5,2,22,28,41,8,34-78,.436,9-24,.375,20-23,.870,105
Boston,Toronto,03/23/2016,W,48,91,48,24,5,5,8,18,41,7,35-80,.438,8-20,.400,13-21,.619,112,79,52,13,3,7,11,15,37,15,31-89,.348,6-22,.273,11-20,.550,76
Boston,Orlando,03/21/2016,W,48,107,46,22,8,6,14,16,37,9,40-85,.471,7-22,.318,20-24,.833,126,96,45,15,9,7,11,20,31,14,39-93,.419,5-18,.278,13-19,.684,101
Boston,Oklahoma City,03/16/2016,L,48,109,42,17,4,4,11,22,26,16,40-93,.430,5-19,.263,24-27,.889,109,130,53,23,7,5,10,24,37,16,47-96,.490,12-29,.414,24-30,.800,153
Boston,Houston,03/11/2016,L,48,98,45,24,14,3,14,17,31,14,34-91,.374,8-31,.258,22-28,.786,107,102,50,19,8,3,17,21,35,15,40-88,.455,5-26,.192,17-25,.680,109
Boston,Memphis,03/09/2016,W,48,116,38,26,9,7,13,27,31,7,41-87,.471,15-32,.469,19-24,.792,132,96,48,20,8,7,19,22,32,16,32-84,.381,7-26,.269,25-31,.806,102
Boston,New York,03/04/2016,W,48,105,51,20,8,2,8,14,38,13,41-90,.456,4-20,.200,19-25,.760,123,104,45,22,4,3,10,18,35,10,42-92,.457,9-23,.391,11-14,.786,115
Boston,Portland,03/02/2016,W,48,116,57,20,9,8,5,16,38,19,43-107,.402,7-26,.269,23-24,.958,140,93,48,15,4,7,14,21,36,12,34-84,.405,11-29,.379,14-20,.700,97
Boston,Utah,02/29/2016,W,48,100,47,27,6,13,9,18,36,11,37-84,.440,6-18,.333,20-29,.690,128,95,52,23,6,4,9,21,37,15,38-101,.376,7-24,.292,12-17,.706,103
Boston,Miami,02/27/2016,W,48,101,48,26,12,6,11,19,36,12,39-96,.406,5-16,.312,18-22,.818,121,89,54,19,7,12,18,19,40,14,36-87,.414,1-13,.077,16-23,.696,105
Boston,Milwaukee,02/25/2016,W,48,112,42,21,9,3,16,21,33,9,41-84,.488,5-23,.217,25-33,.758,120,107,35,26,9,7,14,27,28,7,42-87,.483,4-15,.267,19-25,.760,119
Boston,L.A.Clippers,02/10/2016,W,53,139,43,34,5,2,10,33,35,8,47-95,.495,13-33,.394,32-37,.865,160,134,44,25,7,9,14,29,35,9,44-85,.518,12-30,.400,34-50,.680,148
Boston,Sacramento,02/07/2016,W,48,128,49,34,9,5,24,19,37,12,51-91,.560,13-24,.542,13-15,.867,159,119,32,32,15,5,14,18,25,7,47-95,.495,10-26,.385,15-19,.789,137
Boston,Detroit,02/03/2016,W,48,102,49,28,8,7,10,24,43,6,42-96,.438,7-21,.333,11-13,.846,128,95,48,18,3,5,16,18,39,9,32-85,.376,11-34,.324,20-28,.714,92
Boston,Orlando,01/29/2016,W,48,113,46,28,8,6,12,20,38,8,43-86,.500,10-24,.417,17-21,.810,142,94,41,17,9,4,16,18,32,9,32-79,.405,7-20,.350,23-29,.793,96
Boston,Denver,01/27/2016,W,48,111,48,29,15,5,11,24,34,14,41-96,.427,9-28,.321,20-24,.833,138,103,53,23,4,6,20,22,39,14,36-84,.429,7-21,.333,24-32,.750,113
Boston,Chicago,01/22/2016,W,48,110,46,26,14,6,12,22,30,16,43-96,.448,8-23,.348,16-21,.762,132,101,50,11,7,4,20,19,35,15,38-89,.427,3-13,.231,22-26,.846,98
